subject,object,original_label
Optics,Optical microscopy,broader
Metals,Erbium,broader
Production,Production engineering,broader
Control systems,Decentralized control,broader
Chemical elements,Lutetium,broader
Numerical analysis,Convergence of numerical methods,broader
Medical treatment,Cancer treatment,broader
Production,Embossing,broader
Integrated circuits,Analog integrated circuits,broader
Testing,Materials testing,broader
Optics,Optical pulses,broader
Power systems,Energy Internet,broader
Mathematics,Equations,broader
Management,Building management systems,broader
Geoscience,Wetlands,broader
Management,Asset management,broader
Computer applications,Scientific computing,broader
Mathematics,Quaternions,broader
Medical treatment,Electroporation,broader
Geoscience,Biosphere,broader
Measurement,Mechanical variables measurement,broader
Integrated circuits,Microprocessors,broader
Mechanical factors,Deformation,broader
Mechanical products,Needles,broader
Medical treatment,Anesthesia,broader
Materials,Building materials,broader
Measurement,Calorimetry,broader
Antennas,UHF antennas,broader
Measurement,Key performance indicator,broader
Algorithms,Change detection algorithms,broader
Measurement,Accelerometers,broader
Communication systems,Visual communication,broader
Physics,String theory,broader
Imaging,Stereo vision,broader
Industries,Metals industry,broader
Magnetics,Magnetic losses,broader
Production,Mechanical products,broader
Brain,Brainstem,broader
Management,Dependability management,broader
Algorithms,Maximum likelihood detection,broader
Robots,Evolutionary robotics,broader
Image processing,Saliency detection,broader
Physics,Mechanical factors,broader
Circuits,VHF circuits,broader
Mathematics,Harmonic analysis,broader
Mechanical products,Tires,broader
Mathematics,Uncertain systems,broader
Communication systems,Microwave communication,broader
Statistics,Mixture models,broader
Materials,Magnetic materials,broader
Communication systems,MISO communication,broader
Metals,Zinc,broader
Sensors,Intelligent sensors,broader
Testing,Integrated circuit testing,broader
Chemical elements,Titanium,broader
Medical conditions,Hemorrhaging,broader
Software,Software agents,broader
Biology,Genetics,broader
Computer networks,Intserv networks,broader
Semiconductor devices,Semiconductor device modeling,broader
Power systems,Transformers,broader
Nanotechnology,Nanopackaging,broader
Mathematics,Computational efficiency,broader
Control systems,Admittance control,broader
Integrated circuits,Large scale integration,broader
Filters,Particle filters,broader
Industry applications,Industries,broader
Mathematics,Tensors,broader
Mechanical factors,Surface stress,broader
Testing,Software testing,broader
Filters,Bragg gratings,broader
Industry applications,Cryogenics,broader
Optics,Optical polarization,broader
Medical conditions,Sepsis,broader
